size,avg_time,min_time,avg_algbw,max_algbw
8388608,67.52,67.52,124.23,124.23
9437184,73.73,73.73,128.00,128.00
10485760,81.47,81.47,128.71,128.71
11534336,86.63,86.63,133.14,133.14
12582912,93.04,93.04,135.24,135.24
13631488,99.43,99.43,137.10,137.10
14680064,105.76,105.76,138.81,138.81
15728640,114.61,114.61,137.24,137.24
16777216,118.91,118.91,141.10,141.10
17825792,125.34,125.34,142.22,142.22
18874368,131.87,131.87,143.13,143.13
19922944,137.79,137.79,144.59,144.59
20971520,147.13,147.13,142.54,142.54
22020096,151.00,151.00,145.83,145.83
23068672,157.10,157.10,146.84,146.84
24117248,163.72,163.72,147.31,147.31
25165824,169.92,169.92,148.10,148.10
26214400,179.28,179.28,146.22,146.22
27262976,182.70,182.70,149.22,149.22
28311552,189.36,189.36,149.51,149.51
29360128,195.52,195.52,150.16,150.16
30408704,201.79,201.79,150.70,150.70
31457280,211.23,211.23,148.92,148.92
32505856,214.26,214.26,151.71,151.71
33554432,220.65,220.65,152.07,152.07
