size,avg_time,min_time,avg_algbw,max_algbw
8388608,59.39,59.39,141.24,141.24
9437184,67.01,67.01,140.83,140.83
10485760,68.67,68.67,152.70,152.70
11534336,71.29,71.29,161.79,161.79
12582912,75.59,75.59,166.46,166.46
13631488,84.44,84.44,161.44,161.44
14680064,86.41,86.41,169.90,169.90
15728640,89.15,89.15,176.43,176.43
16777216,93.25,93.25,179.93,179.93
17825792,101.44,101.44,175.73,175.73
18874368,103.65,103.65,182.10,182.10
19922944,106.72,106.72,186.68,186.68
20971520,110.35,110.35,190.05,190.05
22020096,118.52,118.52,185.80,185.80
23068672,120.87,120.87,190.85,190.85
24117248,123.97,123.97,194.55,194.55
25165824,127.69,127.69,197.08,197.08
26214400,136.64,136.64,191.85,191.85
27262976,138.24,138.24,197.21,197.21
28311552,141.39,141.39,200.23,200.23
29360128,145.33,145.33,202.03,202.03
30408704,153.93,153.93,197.55,197.55
31457280,156.04,156.04,201.60,201.60
32505856,158.90,158.90,204.56,204.56
33554432,162.49,162.49,206.50,206.50
