TIMESTAMP,ContextTokens,GeneratedTokens
XXX,107,15
XXX,396,513
XXX,18,222
XXX,18,104
XXX,71,327
XXX,40,95
XXX,48,816
XXX,2,10
XXX,83,675
XXX,2,10
XXX,25,77
XXX,9,307
XXX,8,25
XXX,6,347
XXX,13,513
XXX,30,897
XXX,39,25
XXX,637,89
XXX,11,19
XXX,398,513
XXX,259,100
XXX,65,239
XXX,2,16
XXX,185,52
XXX,64,472
XXX,48,316
XXX,4,7
XXX,5,87
XXX,53,513
XXX,123,91
XXX,38,358
XXX,28,159
XXX,160,542
XXX,4,28
XXX,9,513
XXX,7,119
XXX,72,566
XXX,82,292
XXX,9,109
XXX,299,513
XXX,14,102
XXX,38,483
XXX,14,8
XXX,88,322
XXX,11,35
XXX,34,25
XXX,8,182
XXX,2,38
XXX,10,186
XXX,24,459
XXX,4,18
XXX,32,92
XXX,15,264
XXX,6,323
XXX,16,347
XXX,364,287
XXX,322,33
XXX,14,39
XXX,62,894
XXX,2,20
XXX,31,46
XXX,16,150
XXX,10,102
XXX,19,451
XXX,29,42
XXX,539,514
XXX,10,113
XXX,41,512
XXX,8,45
XXX,8,246
XXX,20,483
XXX,27,5
XXX,20,202
XXX,26,22
XXX,11,57
XXX,273,513
XXX,29,188
XXX,11,138
XXX,20,107
XXX,17,242
XXX,8,10
XXX,87,539
XXX,46,18
XXX,64,472
XXX,96,234
XXX,15,149
XXX,2,9
XXX,110,441
XXX,10,284
XXX,18,682
XXX,10,371
XXX,8,263
XXX,71,18
XXX,40,747
XXX,11,530
XXX,12,57
XXX,22,30
XXX,16,513
XXX,12,477
XXX,238,42
XXX,146,574
XXX,448,287
XXX,22,73
XXX,204,170
XXX,407,267
XXX,364,139
XXX,24,355
XXX,13,342
XXX,23,826
XXX,16,476
XXX,22,252
XXX,13,455
XXX,8,267
XXX,12,473
XXX,280,14
XXX,10,513
XXX,74,31
XXX,362,3
XXX,8,153
XXX,98,75
XXX,61,46
XXX,285,48
XXX,14,282
XXX,19,513
XXX,140,513
XXX,52,89
XXX,24,59
XXX,276,758
XXX,25,445
XXX,26,285
XXX,13,10
XXX,29,16
XXX,119,10
XXX,8,48
XXX,5,57
XXX,125,58
XXX,30,82
XXX,554,273
XXX,270,7
XXX,16,412
XXX,345,118
XXX,5,21
XXX,31,43
XXX,23,340
XXX,158,193
XXX,14,236
XXX,155,90
XXX,142,561
XXX,13,67
XXX,34,88
XXX,13,17
XXX,19,400
XXX,141,271
XXX,16,191
XXX,228,27
XXX,9,388
XXX,9,13
XXX,14,475
XXX,8,194
XXX,6,513
XXX,9,276
XXX,314,260
XXX,29,171
XXX,3,15
XXX,18,48
XXX,21,139
XXX,23,111
XXX,25,84
XXX,328,428
XXX,82,46
XXX,54,512
XXX,11,126
XXX,118,423
XXX,5,18
XXX,6,18
XXX,125,71
XXX,653,153
XXX,9,84
XXX,42,412
XXX,47,111
XXX,27,725
XXX,48,64
XXX,32,300
XXX,8,23
XXX,66,72
XXX,35,63
XXX,11,3
XXX,6,25
XXX,43,897
XXX,14,285
XXX,81,236
XXX,17,258
XXX,15,286
XXX,3,34
XXX,8,94
XXX,41,95
XXX,30,592
XXX,268,513
XXX,68,46
XXX,29,174
XXX,46,513
XXX,18,121
XXX,73,473
XXX,83,62
XXX,36,31
XXX,82,378
XXX,80,393
XXX,31,109
XXX,11,513
XXX,179,524
XXX,11,26
XXX,24,303
XXX,79,543
XXX,80,313
XXX,32,65
XXX,33,131
XXX,9,446
XXX,498,567
XXX,10,150
XXX,98,71
XXX,389,225
XXX,2,10
XXX,17,366
XXX,69,39
XXX,786,515
XXX,81,435
XXX,23,42
XXX,11,112
XXX,91,34
XXX,49,480
XXX,8,44
XXX,16,85
XXX,26,546
XXX,50,12
XXX,258,313
XXX,164,82
XXX,24,248
XXX,49,22
XXX,520,276
XXX,5,392
XXX,205,341
XXX,38,12
XXX,81,322
XXX,304,36
XXX,21,23
XXX,8,512
XXX,289,33
XXX,88,404
XXX,90,119
XXX,8,85
XXX,325,177
XXX,87,244
XXX,194,299
XXX,163,163
XXX,4,10
XXX,309,3
XXX,47,6
XXX,4,10
XXX,9,90
XXX,18,123
XXX,68,2
XXX,13,232
XXX,41,50
XXX,29,17
XXX,62,66
XXX,10,47
XXX,23,703
XXX,81,50
XXX,44,181
XXX,38,367
XXX,9,98
XXX,15,513
XXX,18,332
XXX,7,74
XXX,2,11
XXX,28,371
XXX,19,275
XXX,20,127
XXX,8,354
XXX,79,291
XXX,99,860
XXX,202,185
XXX,453,66
XXX,204,579
XXX,68,2
XXX,41,27
XXX,12,142
XXX,231,159
XXX,17,69
XXX,145,143
XXX,14,113
XXX,20,132
XXX,248,349
XXX,12,235
XXX,40,96
XXX,11,4
XXX,34,701
XXX,93,647
XXX,22,316
XXX,207,19
XXX,4,394
XXX,98,374
XXX,23,507
XXX,214,111
XXX,35,41
XXX,8,7
XXX,11,21
XXX,10,287
XXX,2,10
XXX,116,197
XXX,822,618
XXX,357,13
XXX,26,475
XXX,9,24
XXX,25,15
XXX,6,1
XXX,40,126
XXX,27,298
XXX,81,386
XXX,2,10
XXX,42,514
XXX,160,231
XXX,25,69
XXX,27,63
XXX,835,513
XXX,25,140
XXX,301,250
XXX,9,42
XXX,15,53
XXX,63,69
XXX,140,81
XXX,53,202
XXX,63,192
XXX,8,69
XXX,12,417
XXX,19,333
XXX,17,479
XXX,165,129
XXX,46,30
XXX,53,261
XXX,88,71
XXX,202,276
XXX,75,563
XXX,3,17
XXX,66,420
XXX,68,6
XXX,10,36
XXX,10,145
XXX,7,109
XXX,345,13
XXX,7,252
XXX,2,10
XXX,54,59
XXX,629,26
XXX,36,17
XXX,111,160
XXX,32,59
XXX,264,533
XXX,36,122
XXX,5,4
XXX,8,26
XXX,287,36
XXX,11,9
XXX,16,508
XXX,25,512
XXX,58,165
XXX,87,513
XXX,9,111
XXX,41,129
XXX,51,55
XXX,213,129
XXX,438,109
XXX,9,9
XXX,2,12
XXX,18,327
XXX,35,360
XXX,136,422
XXX,14,306
XXX,4,12
XXX,51,401
XXX,30,7
XXX,4,23
XXX,16,175
XXX,14,116
XXX,52,589
XXX,28,43
XXX,715,338
XXX,44,513
XXX,7,146
XXX,36,18
XXX,49,225
XXX,175,209
XXX,50,243
XXX,7,109
XXX,14,81
XXX,2,10
XXX,150,22
XXX,34,642
XXX,911,17
XXX,317,428
XXX,7,43
XXX,16,478
XXX,33,513
XXX,12,178
XXX,72,81
XXX,68,2
XXX,3,11
XXX,10,413
XXX,34,575
XXX,3,10
XXX,7,32
XXX,8,23
XXX,9,263
XXX,11,208
XXX,16,392
XXX,3,11
XXX,17,23
XXX,15,143
XXX,276,11
XXX,60,222
XXX,116,25
XXX,398,61
XXX,24,671
XXX,340,522
XXX,58,260
XXX,16,80
XXX,2,10
XXX,15,152
XXX,76,1025
XXX,171,120
XXX,8,68
XXX,31,165
XXX,15,351
XXX,322,514
XXX,220,17
XXX,42,44
XXX,71,513
XXX,80,594
XXX,23,284
XXX,11,187
XXX,20,69
XXX,24,24
XXX,91,1005
XXX,11,32
XXX,2,10
XXX,24,513
XXX,12,46
XXX,2,37
XXX,63,240
XXX,92,44
XXX,14,48
XXX,424,38
XXX,7,38
XXX,251,92
XXX,6,32
XXX,106,246
XXX,15,256
XXX,24,424
XXX,416,64
XXX,38,512
XXX,41,38
XXX,56,108
XXX,404,376
XXX,35,9
XXX,88,155
XXX,33,73
XXX,13,344
XXX,99,323
XXX,23,267
XXX,8,123
XXX,68,2
XXX,2,10
XXX,10,99
XXX,32,70
XXX,2,10
XXX,9,33
XXX,486,197
XXX,805,222
XXX,289,13
XXX,93,3
XXX,103,523
XXX,12,112
XXX,9,235
XXX,22,341
XXX,83,926
XXX,306,114
XXX,35,416
XXX,33,26
XXX,695,394
XXX,60,81
XXX,38,65
XXX,6,149
XXX,70,373
XXX,2,124
XXX,6,393
XXX,12,92
XXX,36,5
XXX,31,72
XXX,28,130
XXX,11,39
XXX,44,460
XXX,22,250
XXX,359,10
XXX,12,5
XXX,18,277
XXX,100,57
XXX,21,452
XXX,18,264
XXX,2,42
XXX,2,10
XXX,34,159
XXX,8,3
XXX,66,206
XXX,228,348
XXX,28,153
XXX,8,20
XXX,25,470
XXX,19,20
XXX,6,50
XXX,62,71
XXX,32,6
XXX,457,28
XXX,9,57
XXX,7,20
XXX,20,23
XXX,16,58
XXX,25,314
XXX,11,84
XXX,31,283
XXX,12,34
XXX,383,801
XXX,9,98
XXX,32,39
XXX,598,148
XXX,425,19
XXX,30,312
