TIMESTAMP,ContextTokens,GeneratedTokens
XXX,42,285
XXX,19,82
XXX,63,482
XXX,120,164
XXX,345,205
XXX,17,195
XXX,18,9
XXX,9,322
XXX,55,744
XXX,11,214
XXX,9,153
XXX,55,551
XXX,4,769
XXX,13,41
XXX,20,126
XXX,396,245
XXX,78,2
XXX,3152,385
XXX,3836,503
XXX,1274,40
XXX,2716,364
XXX,2721,578
XXX,1301,276
XXX,1448,50
XXX,1290,356
XXX,21,306
XXX,257,292
XXX,16,846
XXX,26,136
XXX,20,246
XXX,39,780
XXX,11,369
XXX,19,160
XXX,27,660
XXX,12,201
XXX,443,365
XXX,148,181
XXX,197,89
XXX,10,483
XXX,12,83
XXX,17,227
XXX,46,119
XXX,26,27
XXX,34,50
XXX,2794,99
XXX,2993,427
XXX,370,231
XXX,17,722
XXX,474,412
XXX,156,82
XXX,5,320
XXX,16,143
XXX,47,296
XXX,2378,447
XXX,24,15
XXX,1848,116
XXX,1271,23
XXX,427,425
XXX,56,450
XXX,8,37
XXX,369,312
XXX,495,138
XXX,2,10
XXX,83,497
XXX,22,471
XXX,8,226
XXX,79,382
XXX,5,254
XXX,25,382
XXX,22,308
XXX,13,239
XXX,33,42
XXX,7,266
XXX,8,261
XXX,23,361
XXX,42,175
XXX,16,140
XXX,141,166
XXX,15,298
XXX,9,744
XXX,31,181
XXX,11,97
XXX,31,775
XXX,29,238
XXX,367,167
XXX,328,235
XXX,287,158
XXX,84,350
XXX,54,102
XXX,25,258
XXX,10,399
XXX,5,27
XXX,518,121
XXX,18,584
XXX,398,98
XXX,50,468
XXX,17,238
XXX,19,475
XXX,58,241
XXX,7,198
XXX,14,167
XXX,8,15
XXX,225,486
XXX,10,318
XXX,10,548
XXX,11,337
XXX,970,490
XXX,2650,560
XXX,9,102
XXX,109,887
XXX,23,158
XXX,168,113
XXX,7,376
XXX,31,115
XXX,102,971
XXX,10,440
XXX,15,147
XXX,61,229
XXX,5924,227
XXX,6625,195
XXX,14,416
XXX,174,19
XXX,11,261
XXX,2475,367
XXX,1527,434
XXX,25,217
XXX,88,156
XXX,16,679
XXX,44,265
XXX,10,249
XXX,31,376
XXX,19,211
XXX,14,277
XXX,1003,269
XXX,781,569
XXX,1144,501
XXX,881,762
XXX,700,47
XXX,2019,408
XXX,1951,470
XXX,1929,575
XXX,22,341
XXX,58,172
XXX,57,300
XXX,63,795
XXX,282,484
XXX,28,251
XXX,14,89
XXX,43,352
XXX,71,668
XXX,1152,110
XXX,426,128
XXX,690,96
XXX,1173,144
XXX,1174,143
XXX,1514,191
XXX,786,299
XXX,817,138
XXX,769,175
XXX,67,197
XXX,1937,3
XXX,1203,172
XXX,2203,138
XXX,350,121
XXX,537,3
XXX,39,781
XXX,16,287
XXX,199,10
XXX,437,318
XXX,65,308
XXX,9,832
XXX,459,31
XXX,473,608
XXX,17,313
XXX,114,822
XXX,64,453
XXX,190,133
XXX,2,10
XXX,15,206
XXX,353,271
XXX,8,299
XXX,19,427
XXX,12,20
XXX,106,30
XXX,76,265
XXX,21,212
XXX,23,782
XXX,12,512
XXX,29,186
XXX,10,310
XXX,24,562
XXX,10,158
XXX,35,432
XXX,1110,198
XXX,2162,697
XXX,1985,792
XXX,85,155
XXX,76,141
XXX,2,10
XXX,11,57
XXX,12,231
XXX,8,91
XXX,16,227
XXX,30,787
XXX,72,476
XXX,791,178
XXX,8,91
XXX,38,511
XXX,12,319
XXX,14,845
XXX,320,286
XXX,77,406
XXX,18,220
XXX,44,403
XXX,19,387
XXX,123,142
XXX,49,142
XXX,1140,890
XXX,22,327
XXX,75,241
XXX,75,282
XXX,127,852
XXX,58,392
XXX,10,18
XXX,29,244
XXX,30,344
XXX,176,64
XXX,304,193
XXX,138,244
XXX,6,473
XXX,11,349
XXX,12,279
XXX,22,347
XXX,71,50
XXX,15,558
XXX,353,96
XXX,1409,465
XXX,135,749
XXX,105,870
XXX,3,329
XXX,20,495
XXX,6,435
XXX,1736,1020
XXX,1762,500
XXX,36,321
XXX,46,410
XXX,16,125
XXX,79,975
XXX,17,186
XXX,21,405
XXX,14,345
XXX,108,705
XXX,34,346
XXX,61,43
XXX,51,211
XXX,2,10
XXX,87,370
XXX,33,1016
XXX,177,327
XXX,33,117
XXX,285,468
XXX,26,256
XXX,2076,217
XXX,49,267
XXX,53,331
XXX,28,279
XXX,114,7
XXX,29,277
XXX,7,210
XXX,188,224
XXX,436,3
XXX,326,307
XXX,16,181
XXX,92,530
XXX,8,81
XXX,1399,939
XXX,1412,859
XXX,53,732
XXX,10,262
XXX,11,616
XXX,26,233
XXX,7,427
XXX,8,315
XXX,17,609
XXX,29,30
XXX,198,245
XXX,58,353
XXX,384,236
XXX,39,319
XXX,15,90
XXX,13,391
XXX,20,440
XXX,23,359
XXX,16,598
XXX,95,283
XXX,18,481
XXX,69,58
XXX,10,280
XXX,25,349
XXX,156,388
XXX,106,193
XXX,43,130
XXX,6,18
XXX,48,61
XXX,25,34
XXX,97,161
XXX,3,24
XXX,14,333
XXX,447,320
XXX,34,174
XXX,25,211
XXX,67,118
XXX,468,675
XXX,65,303
XXX,199,59
XXX,79,210
XXX,13,181
XXX,41,407
XXX,98,303
XXX,14,612
XXX,272,709
XXX,24,430
XXX,19,109
XXX,16,503
XXX,38,78
XXX,23,646
XXX,10,269
XXX,8,333
XXX,22,427
XXX,2,10
XXX,13,146
XXX,20,363
XXX,36,414
XXX,144,404
XXX,316,101
XXX,3026,249
XXX,7,159
XXX,18,351
XXX,302,169
XXX,422,164
XXX,209,113
XXX,22,457
XXX,9,110
XXX,21,324
XXX,13,171
XXX,179,168
XXX,3,33
XXX,34,525
XXX,9,185
XXX,72,361
XXX,2632,798
XXX,1331,343
XXX,1201,451
XXX,59,201
XXX,1360,396
XXX,1772,445
XXX,1245,267
XXX,1109,143
XXX,1355,390
XXX,33,185
XXX,19,489
XXX,135,178
XXX,125,673
XXX,13,355
XXX,13,507
XXX,1434,427
XXX,22837,812
XXX,18,73
XXX,570,120
XXX,30,60
XXX,33,414
XXX,18,258
XXX,29,309
XXX,360,277
XXX,2035,461
XXX,1185,1013
XXX,509,306
XXX,17,49
XXX,46,26
XXX,308,44
XXX,178,955
XXX,35,317
XXX,34,167
XXX,12,85
XXX,51,345
XXX,6,145
XXX,12,208
XXX,8,43
XXX,8,471
XXX,12,198
XXX,15,892
XXX,90,27
XXX,14,303
XXX,24,495
XXX,379,195
XXX,35,259
XXX,9,76
XXX,4,272
XXX,34,409
XXX,23,350
XXX,10,325
XXX,12,81
XXX,20,383
XXX,127,237
XXX,60,407
XXX,596,153
XXX,1448,347
XXX,27,164
XXX,162,149
XXX,47,317
XXX,37,67
XXX,112,486
XXX,92,301
XXX,129,283
XXX,133,352
XXX,55,357
XXX,70,280
XXX,142,312
XXX,118,495
XXX,81,609
XXX,86,521
XXX,65,418
XXX,137,740
XXX,15,97
XXX,66,132
XXX,37,614
XXX,32,422
XXX,13,367
XXX,11,94
XXX,23,316
XXX,106,7
XXX,157,882
XXX,4914,308
XXX,4012,233
XXX,2598,247
XXX,902,541
XXX,1010,782
XXX,506,386
XXX,589,373
XXX,1827,544
XXX,1138,948
XXX,1411,887
XXX,1153,448
XXX,1337,562
XXX,14,168
XXX,652,548
XXX,5,118
XXX,23,75
XXX,565,715
XXX,12,146
XXX,10,174
XXX,131,1470
XXX,5,28
XXX,156,529
XXX,3,773
XXX,21,309
XXX,71,353
XXX,5,97
XXX,16,371
XXX,1692,392
XXX,15,385
XXX,34,403
XXX,17,83
XXX,824,24
XXX,963,6
XXX,1548,6
XXX,1907,6
XXX,3266,6
XXX,3543,6
XXX,30,375
XXX,1975,670
XXX,9,231
XXX,16,488
XXX,357,222
XXX,13,423
XXX,23,468
XXX,1039,715
XXX,928,1012
XXX,75,279
XXX,40,343
XXX,60,279
XXX,26,547
XXX,169,445
XXX,15,7
XXX,26,317
XXX,26,193
XXX,91,461
XXX,16,377
XXX,44,406
XXX,35,162
XXX,3102,634
XXX,157,102
XXX,7,367
XXX,93,82
XXX,14,286
XXX,5,167
XXX,18,25
XXX,421,360
XXX,580,620
XXX,194,336
XXX,11,254
XXX,1244,213
